case,x,panel,chain_real,chain_imag,pressure_delta_real,pressure_delta_imag
fn167,0.016002068483958694,62,-1.406501342261716e-15,-1.829822054710157e-15,4.7821045636898345e-12,6.221394986014534e-12
fn167,0.016002068483958694,63,-1.4705548050174237e-15,-1.931037552586785e-15,4.99988633705924e-12,6.565527678795069e-12
fn167,0.016002068483958694,64,-1.4240342003962437e-16,-7.489536668192128e-17,4.841716281347229e-13,2.5464424671853235e-13
fn167,0.016002068483958694,65,0.0,0.0,-0.0,0.0
fn167,0.016002068483958694,66,-1.4035469789596197e-16,-7.055992533228704e-17,4.772059728462707e-13,2.3990374612977596e-13
fn167,0.016002068483958694,67,0.0,0.0,-0.0,0.0
fn167,0.016002068483958694,68,0.0,0.0,-0.0,0.0
fn167,0.016002068483958694,69,0.0,0.0,-0.0,0.0
fn167,0.016002068483958694,70,0.0,0.0,-0.0,0.0
fn167,0.016002068483958694,71,-7.94665910501664e-18,-2.6420321315586406e-18,2.7018640957056577e-14,8.982909247299377e-15
fn167,0.031986234344101555,0,0.0,0.0,-0.0,0.0
fn167,0.031986234344101555,1,0.0,0.0,-0.0,0.0
fn167,0.031986234344101555,2,0.0,0.0,-0.0,0.0
fn167,0.031986234344101555,3,0.0,0.0,-0.0,0.0
fn167,0.031986234344101555,4,0.0,0.0,-0.0,0.0
fn167,0.031986234344101555,5,0.0,0.0,-0.0,0.0
fn167,0.031986234344101555,6,0.0,0.0,-0.0,0.0
fn167,0.031986234344101555,7,0.0,0.0,-0.0,0.0
fn167,0.031986234344101555,8,0.0,0.0,-0.0,0.0
fn167,0.031986234344101555,9,0.0,0.0,-0.0,0.0
fn167,0.031986234344101555,10,0.0,0.0,-0.0,0.0
fn167,0.031986234344101555,11,0.0,0.0,-0.0,0.0
fn167,0.031986234344101555,12,0.0,0.0,-0.0,0.0
fn167,0.031986234344101555,13,0.0,0.0,-0.0,0.0
fn167,0.031986234344101555,14,0.0,0.0,-0.0,0.0
fn167,0.031986234344101555,15,0.0,0.0,-0.0,0.0
fn167,0.031986234344101555,16,0.0,0.0,-0.0,0.0
fn167,0.031986234344101555,17,0.0,0.0,-0.0,0.0
fn167,0.031986234344101555,18,0.0,0.0,-0.0,0.0
fn167,0.031986234344101555,19,0.0,0.0,-0.0,0.0
fn167,0.031986234344101555,20,0.0,0.0,-0.0,0.0
fn167,0.031986234344101555,21,0.0,0.0,-0.0,0.0
fn167,0.031986234344101555,22,0.0,0.0,-0.0,0.0
fn167,0.031986234344101555,23,0.0,0.0,-0.0,0.0
fn167,0.031986234344101555,24,0.0,0.0,-0.0,0.0
fn167,0.031986234344101555,25,0.0,0.0,-0.0,0.0
fn167,0.031986234344101555,26,0.0,0.0,-0.0,0.0
fn167,0.031986234344101555,27,0.0,0.0,-0.0,0.0
fn167,0.031986234344101555,28,0.0,0.0,-0.0,0.0
