case,x,panel,chain_real,chain_imag,pressure_delta_real,pressure_delta_imag
fn167,0.38363788326724446,8,-8.878132099180089e-17,-8.321560550430582e-17,3.01856491372123e-13,2.829330587146398e-13
fn167,0.38363788326724446,9,0.0,0.0,-0.0,0.0
fn167,0.38363788326724446,10,0.0,0.0,-0.0,0.0
fn167,0.38363788326724446,11,0.0,0.0,-0.0,0.0
fn167,0.38363788326724446,12,0.0,0.0,-0.0,0.0
fn167,0.38363788326724446,13,-7.528094663907355e-17,-1.625315602898725e-16,2.559552185728501e-13,5.526073049855666e-13
fn167,0.38363788326724446,14,-1.1026613599965028e-16,-2.1051034226445548e-16,3.7490486239881096e-13,7.157351636991486e-13
fn167,0.38363788326724446,15,0.0,0.0,-0.0,0.0
fn167,0.38363788326724446,16,3.2506484389003337e-18,-1.0994534759587889e-17,-1.1052204692261134e-14,3.738141818259882e-14
fn167,0.38363788326724446,17,-9.834019843307665e-17,-1.8053773135152712e-16,3.343566746724606e-13,6.138282865951922e-13
fn167,0.38363788326724446,18,-9.834019843307814e-17,-1.8053773135152878e-16,3.3435667467246566e-13,6.138282865951978e-13
fn167,0.38363788326724446,19,3.250648438901272e-18,-1.0994534759587331e-17,-1.1052204692264324e-14,3.7381418182596925e-14
fn167,0.38363788326724446,20,0.0,0.0,-0.0,0.0
fn167,0.38363788326724446,21,-1.1026613599965053e-16,-2.105103422644547e-16,3.7490486239881177e-13,7.15735163699146e-13
fn167,0.38363788326724446,22,-7.528094663907299e-17,-1.6253156028987243e-16,2.5595521857284816e-13,5.526073049855662e-13
fn167,0.38363788326724446,23,0.0,0.0,-0.0,0.0
fn167,0.38363788326724446,24,0.0,0.0,-0.0,0.0
fn167,0.38363788326724446,25,0.0,0.0,-0.0,0.0
fn167,0.38363788326724446,26,0.0,0.0,-0.0,0.0
fn167,0.38363788326724446,27,-8.878132099179808e-17,-8.321560550430441e-17,3.0185649137211346e-13,2.82933058714635e-13
fn167,0.38363788326724446,28,0.0,0.0,-0.0,0.0
fn167,0.38363788326724446,29,0.0,0.0,-0.0,0.0
fn167,0.38363788326724446,30,0.0,0.0,-0.0,0.0
fn167,0.38363788326724446,31,-5.002805446114253e-17,1.8794573860101919e-16,1.700953851678846e-13,-6.390155112434653e-13
fn167,0.38363788326724446,32,-1.2608959287634258e-17,-3.271233730127295e-16,4.287046157795648e-14,1.1122194682432802e-12
fn167,0.38363788326724446,33,0.0,0.0,-0.0,0.0
fn167,0.38363788326724446,34,0.0,0.0,-0.0,0.0
fn167,0.38363788326724446,35,3.991955736856944e-16,8.811266765411791e-16,-1.357264950531361e-12,-2.995830700240009e-12
fn167,0.4475745467078159,0,0.0,0.0,-0.0,0.0
fn167,0.4475745467078159,1,0.0,0.0,-0.0,0.0
fn167,0.4475745467078159,2,0.0,0.0,-0.0,0.0
fn167,0.4475745467078159,3,0.0,0.0,-0.0,0.0
fn167,0.4475745467078159,4,0.0,0.0,-0.0,0.0
fn167,0.4475745467078159,5,0.0,0.0,-0.0,0.0
fn167,0.4475745467078159,6,0.0,0.0,-0.0,0.0
fn167,0.4475745467078159,7,0.0,0.0,-0.0,0.0
fn167,0.4475745467078159,8,0.0,0.0,-0.0,0.0
fn167,0.4475745467078159,9,0.0,0.0,-0.0,0.0
fn167,0.4475745467078159,10,0.0,0.0,-0.0,0.0
fn167,0.4475745467078159,11,0.0,0.0,-0.0,0.0
fn167,0.4475745467078159,12,0.0,0.0,-0.0,0.0
fn167,0.4475745467078159,13,0.0,0.0,-0.0,0.0
fn167,0.4475745467078159,14,0.0,0.0,-0.0,0.0
fn167,0.4475745467078159,15,0.0,0.0,-0.0,0.0
fn167,0.4475745467078159,16,0.0,0.0,-0.0,0.0
fn167,0.4475745467078159,17,0.0,0.0,-0.0,0.0
fn167,0.4475745467078159,18,0.0,0.0,-0.0,0.0
fn167,0.4475745467078159,19,0.0,0.0,-0.0,0.0
