case,x,panel,chain_real,chain_imag,pressure_delta_real,pressure_delta_imag
fn167,1.7902623815836317e-05,25,7.354806604889435e-15,4.473348187449921e-15,-2.5006342456624078e-11,-1.5209383837329732e-11
fn167,1.7902623815836317e-05,26,6.675017419581693e-15,4.1721420357030956e-15,-2.2695059226577757e-11,-1.4185282921390525e-11
fn167,1.7902623815836317e-05,27,4.67905293760446e-15,2.92605264403652e-15,-1.5908779987855166e-11,-9.948578989724167e-12
fn167,1.7902623815836317e-05,28,3.76195611680891e-15,2.37217699127438e-15,-1.2790650797150294e-11,-8.065401770332892e-12
fn167,1.7902623815836317e-05,29,6.706769548042905e-15,4.248627144993726e-15,-2.2803016463345877e-11,-1.4445332292978668e-11
fn167,1.7902623815836317e-05,30,6.727760165521278e-15,4.2610943352027254e-15,-2.2874384562772344e-11,-1.4487720739689267e-11
fn167,1.7902623815836317e-05,31,3.841041553303694e-15,2.416333119548969e-15,-1.305954128123256e-11,-8.215532606466494e-12
fn167,1.7902623815836317e-05,32,4.4554361441694024e-15,2.809522705324297e-15,-1.5148482890175967e-11,-9.55237719810261e-12
fn167,1.7902623815836317e-05,33,6.393046999437183e-15,4.035621770671098e-15,-2.1736359798086424e-11,-1.3721114020281732e-11
fn167,1.7902623815836317e-05,34,5.978792094378162e-15,3.740544312071334e-15,-2.0327893120885753e-11,-1.2717850661042536e-11
fn167,1.7902623815836317e-05,35,7.2056023280083e-15,4.384555815324594e-15,-2.449904791522822e-11,-1.490748977210362e-11
fn167,1.7902623815836317e-05,36,5.785454509226276e-15,3.3199410983448332e-15,-1.9670545331369338e-11,-1.1287799734372432e-11
fn167,1.7902623815836317e-05,37,5.958284479725483e-15,3.3201671556583725e-15,-2.0258167231066644e-11,-1.1288568329238466e-11
fn167,1.7902623815836317e-05,38,6.917273868960648e-15,3.743804850891618e-15,-2.3518731154466203e-11,-1.27289364930315e-11
fn167,1.7902623815836317e-05,39,5.830170102089528e-15,3.1507049862705248e-15,-1.9822578347104396e-11,-1.0712396953319785e-11
fn167,1.7902623815836317e-05,40,5.340265013993613e-15,2.674918782231536e-15,-1.8156901047578285e-11,-9.094723859587223e-12
fn167,1.7902623815836317e-05,41,5.328629964398242e-15,2.171265127147797e-15,-1.8117341878954023e-11,-7.38230143230251e-12
fn167,1.7902623815836317e-05,42,5.657761592884295e-15,2.190718885090294e-15,-1.9236389415806603e-11,-7.448444209307e-12
fn167,1.7902623815836317e-05,43,5.2367410035201764e-15,2.3151577366523815e-15,-1.78049194119686e-11,-7.871536304618097e-12
fn167,1.7902623815836317e-05,44,4.501805476386354e-15,1.7433081670096134e-15,-1.5306138619713605e-11,-5.927247767832685e-12
fn167,1.7902623815836317e-05,45,4.3770885290546115e-15,4.3125368526586346e-16,-1.488210099878568e-11,-1.4662625299039357e-12
fn167,1.7902623815836317e-05,46,4.885502835630669e-15,2.2547101898851772e-17,-1.6610709641144274e-11,-7.666014645609602e-14
fn167,1.7902623815836317e-05,47,4.232853556748057e-15,2.5992368986285556e-17,-1.4391702092943393e-11,-8.837405455337089e-14
fn167,1.7902623815836317e-05,48,4.136837435240892e-15,-5.531429601469723e-16,-1.4065247279819033e-11,1.8806860644997058e-12
fn167,1.7902623815836317e-05,49,2.9459141599388805e-15,-8.576079220780453e-16,-1.0016108143792194e-11,2.9158669350653542e-12
