iteration,residual_mode,shape_mode,value,finite_difference_step,jacobian_condition_number
1,28,6,-10.070791758189864,0.00015629157810513557,176.09814849591422
1,28,7,16.912068633233584,0.00022388532376631142,176.09814849591422
1,28,8,-5.415992972935237,0.0002971273231367355,176.09814849591422
1,28,9,5.2058780450324456,0.00047252411051982034,176.09814849591422
1,28,10,-0.6585576616393345,0.0005191410595630095,176.09814849591422
1,28,11,3.6257321399564897,0.0011104145356010224,176.09814849591422
1,29,0,-0.015683998588080502,0.0006650873907904612,176.09814849591422
1,29,1,-0.030802572043992223,0.0003221044409845302,176.09814849591422
1,29,2,-0.039263651986367,0.0002288349154506379,176.09814849591422
1,29,3,-0.040543841245886336,0.00019002562756517024,176.09814849591422
1,29,4,-0.08165944450010378,6.849515118560372e-05,176.09814849591422
1,29,5,0.06470624395635072,0.00010735658185860183,176.09814849591422
1,29,6,-0.04251185828220058,0.00015629157810513557,176.09814849591422
1,29,7,-0.01633082537755674,0.00022388532376631142,176.09814849591422
1,29,8,0.03427456118992121,0.0002971273231367355,176.09814849591422
1,29,9,-0.015264322231610764,0.00047252411051982034,176.09814849591422
1,29,10,0.017061997599399956,0.0005191410595630095,176.09814849591422
1,29,11,0.0003091792225057432,0.0011104145356010224,176.09814849591422
1,30,0,0.08776920234098724,0.0006650873907904612,176.09814849591422
1,30,1,0.05052274726356219,0.0003221044409845302,176.09814849591422
1,30,2,-0.19506895684651632,0.0002288349154506379,176.09814849591422
1,30,3,-0.5126166551756721,0.00019002562756517024,176.09814849591422
1,30,4,1.2212714089169536,6.849515118560372e-05,176.09814849591422
1,30,5,1.6405130945293303,0.00010735658185860183,176.09814849591422
1,30,6,-11.978986617001654,0.00015629157810513557,176.09814849591422
1,30,7,8.4216683515212,0.00022388532376631142,176.09814849591422
1,30,8,2.594714578282611,0.0002971273231367355,176.09814849591422
1,30,9,-3.7604356793353886,0.00047252411051982034,176.09814849591422
1,30,10,3.5524091916812583,0.0005191410595630095,176.09814849591422
1,30,11,-2.2829117047036984,0.0011104145356010224,176.09814849591422
1,31,0,-0.0107501794770305,0.0006650873907904612,176.09814849591422
1,31,1,-0.021166822354376388,0.0003221044409845302,176.09814849591422
1,31,2,-0.027106319869887235,0.0002288349154506379,176.09814849591422
1,31,3,-0.02824196183202715,0.00019002562756517024,176.09814849591422
1,31,4,-0.060416702701583676,6.849515118560372e-05,176.09814849591422
1,31,5,0.038888622923747014,0.00010735658185860183,176.09814849591422
1,31,6,-0.004296834105652894,0.00015629157810513557,176.09814849591422
1,31,7,-0.03883527325010571,0.00022388532376631142,176.09814849591422
1,31,8,0.022482397831092144,0.0002971273231367355,176.09814849591422
1,31,9,-0.01503896552001854,0.00047252411051982034,176.09814849591422
1,31,10,0.013942897266695443,0.0005191410595630095,176.09814849591422
1,31,11,-0.006417933102895971,0.0011104145356010224,176.09814849591422
1,32,0,-0.03333684924894417,0.0006650873907904612,176.09814849591422
1,32,1,-0.1920741599182801,0.0003221044409845302,176.09814849591422
1,32,2,-0.5030467128279654,0.0002288349154506379,176.09814849591422
1,32,3,-0.7945788267116716,0.00019002562756517024,176.09814849591422
1,32,4,0.7684921456921182,6.849515118560372e-05,176.09814849591422
1,32,5,1.2710097927822646,0.00010735658185860183,176.09814849591422
1,32,6,-9.308762782717002,0.00015629157810513557,176.09814849591422
1,32,7,-7.758414420981456,0.00022388532376631142,176.09814849591422
1,32,8,13.447154310457648,0.0002971273231367355,176.09814849591422
1,32,9,-13.124465277197297,0.00047252411051982034,176.09814849591422
1,32,10,6.162432335921186,0.0005191410595630095,176.09814849591422
1,32,11,-8.154515061312932,0.0011104145356010224,176.09814849591422
1,33,0,-0.008551157032329747,0.0006650873907904612,176.09814849591422
1,33,1,-0.01719133745756041,0.0003221044409845302,176.09814849591422
1,33,2,-0.022681778519711423,0.0002288349154506379,176.09814849591422
1,33,3,-0.024244563207024665,0.00019002562756517024,176.09814849591422
1,33,4,-0.04717653409134838,6.849515118560372e-05,176.09814849591422
1,33,5,0.020444840960828773,0.00010735658185860183,176.09814849591422
1,33,6,0.002092209395767926,0.00015629157810513557,176.09814849591422
1,33,7,-0.11048150672481875,0.00022388532376631142,176.09814849591422
1,33,8,0.06920262166166968,0.0002971273231367355,176.09814849591422
1,33,9,-0.04197439646391944,0.00047252411051982034,176.09814849591422
1,33,10,0.017238936839688843,0.0005191410595630095,176.09814849591422
1,33,11,-0.024468391734889145,0.0011104145356010224,176.09814849591422
1,34,0,-0.002586364696675651,0.0006650873907904612,176.09814849591422
1,34,1,-0.13255767268277185,0.0003221044409845302,176.09814849591422
1,34,2,-0.4143536815595834,0.0002288349154506379,176.09814849591422
1,34,3,-0.6480914279000709,0.00019002562756517024,176.09814849591422
1,34,4,0.9039666637338054,6.849515118560372e-05,176.09814849591422
