benchmark,coefficient,candidate_name,candidate_order,row_count,station_count,total_current_forward_gradient_integral_value,total_candidate_forward_gradient_integral_value,total_forward_gradient_integral_delta_vs_current,max_abs_station_integral_delta_vs_current,dominant_delta_station_index,dominant_delta_x_over_l,dominant_delta_value,dominant_candidate_density_value_per_m,dominant_current_density_value_per_m,dominant_station_delta_share_of_total_abs_delta,max_gradient_norm_ratio_to_current,median_gradient_norm_ratio_to_current,max_gradient_peak_phase_delta_abs_deg,gate_role,path_diagnostic_status
ma2005_wigley_iii_coefficients,A33,startup_aft_gradient_copy_second,8,39,39,0.0,0.0,0.0,0.0,0,0.024999999999999998,0.0,0.0,0.0,,1.0,1.0,180.0,diagnostic_startup_pressure_gradient_station_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,A35,startup_aft_gradient_copy_second,8,39,39,-1.6080132468849453,-1.336407301116547,0.2716059457683986,0.2716059457683986,0,0.024999999999999998,0.2716059457683986,1.211255730984665,-6.031569489505965,1.0,1.0,1.0,159.63391367740667,diagnostic_startup_pressure_gradient_station_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,A53,startup_aft_gradient_copy_second,8,39,39,0.0,0.0,0.0,0.0,0,0.024999999999999998,0.0,0.0,0.0,,1.0,1.0,180.0,diagnostic_startup_pressure_gradient_station_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,A55,startup_aft_gradient_copy_second,8,39,39,0.15199283365756522,0.44227168819754137,0.29027885453997615,0.29027885453997615,0,0.024999999999999998,0.29027885453997615,1.2945295624898614,-6.446239891909502,1.0,1.0,1.0,156.44870330830548,diagnostic_startup_pressure_gradient_station_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,B33,startup_aft_gradient_copy_second,8,39,39,9.045074513727819,7.517291068780576,-1.527783444947242,1.527783444947242,0,0.024999999999999998,-1.527783444947242,-6.813313486788749,33.92757837847104,1.0,1.0,1.0,180.0,diagnostic_startup_pressure_gradient_station_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,B35,startup_aft_gradient_copy_second,8,39,39,1.8232409617498317,1.1249162065705542,-0.6983247551792774,0.6983247551792774,0,0.024999999999999998,-0.6983247551792774,0.7277066489623154,19.349700120409715,1.0,1.0,1.0,10.382041301454564,diagnostic_startup_pressure_gradient_station_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,B53,startup_aft_gradient_copy_second,8,39,39,-0.37998208414391305,-1.1056792204938533,-0.72569713634994,0.72569713634994,0,0.024999999999999998,-0.72569713634994,-3.2363239062246554,16.115599729773745,1.0,1.0,1.0,180.0,diagnostic_startup_pressure_gradient_station_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,B55,startup_aft_gradient_copy_second,8,39,39,1.004094890825823,0.672390632115666,-0.3317042587101569,0.3317042587101569,0,0.024999999999999998,-0.3317042587101569,0.3456606582571003,9.191107557194618,1.0,1.0,1.0,156.44870330830548,diagnostic_startup_pressure_gradient_station_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,A33,startup_first_pair_gradient_average,9,39,39,0.0,0.0,0.0,0.0,0,0.024999999999999998,0.0,0.0,0.0,,1.619794710944806,1.0,180.0,diagnostic_startup_pressure_gradient_station_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,A35,startup_first_pair_gradient_average,9,39,39,-1.6080132468849453,-1.9989841432907602,-0.39097089640581484,0.5267738692900141,1,0.049999999999999996,-0.5267738692900141,-4.696190759839249,2.3274608306942737,0.7950381537052088,2.2521955185150553,1.0,156.73437213342442,diagnostic_startup_pressure_gradient_station_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,A53,startup_first_pair_gradient_average,9,39,39,0.0,0.0,0.0,0.0,0,0.024999999999999998,0.0,0.0,0.0,,1.619794710944806,1.0,180.0,diagnostic_startup_pressure_gradient_station_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,A55,startup_first_pair_gradient_average,9,39,39,0.15199283365756522,-0.23622628172858606,-0.3882191153861513,0.5333585426561394,1,0.049999999999999996,-0.5333585426561394,-4.754893144337241,2.3565540910779528,0.7860871606059626,2.157160993753404,1.0,152.5485042023339,diagnostic_startup_pressure_gradient_station_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,B33,startup_first_pair_gradient_average,9,39,39,9.045074513727819,11.244285806010526,2.199211292282708,2.963103014756329,1,0.049999999999999996,2.963103014756329,26.416073024095756,-13.091967172655302,0.7950381537052087,1.619794710944806,1.0,180.0,diagnostic_startup_pressure_gradient_station_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,B35,startup_first_pair_gradient_average,9,39,39,1.8232409617498317,2.8327121330640086,1.0094711713141766,1.3586335489038153,1,0.049999999999999996,1.3586335489038153,19.641841275435574,1.5267272900513678,0.7955479503300145,2.315561960580277,1.0,8.533158940984436,diagnostic_startup_pressure_gradient_station_candidate_not_hard_gate,INFO
